"height","weight","age","playedPositions","playedPositionsShort","name","firstName","lastName","playerId"
188,85,29,-DC-DL-,D(CL),Wilfried Kanon,Wilfried,Kanon,141790
189,75,33,-DC-,D(C),Darryl Lachman,Darryl,Lachman,69584
182,66,28,-DC-DR-,D(CR),Edgar Ié,Edgar Miguel,Ié,116212
192,85,26,"",Defender,Stefan Velkov,Stefan,Velkov,136842
184,76,31,-DC-,D(C),Trent Sainsbury,Trent,Sainsbury,142204
187,80,27,-DC-,D(C),Grégoire Amiot,Grégoire,Amiot,321391
184,78,31,-DC-,D(C),Ferhat Görgülü,Ferhat,Görgülü,69458
189,85,35,-DC-DR-,D(CR),Etiënne Reijnen,Etiënne,Reijnen,30792
187,80,36,-DC-,D(C),Henrico Drost,Henrico,Drost,22756
197,87,29,-DC-,D(C),Silvije Begic,Silvije,Begic,360678
187,0,20,-DC-,D(C),Viktor Aleksandrov,Viktor,Aleksandrov,433445
190,90,28,-DC-,D(C),Mateo Barac,Mateo,Barac,318325
192,83,34,-DC-,D(C),Viktor Vasin,Viktor,Vasin,41882
194,88,30,-DC-,D(C),Ivan Ordets,Ivan,Ordets,127656
0,0,23,-DC-,D(C),Vanja Drkusic,Vanja,Drkusic,361696
193,85,23,-DC-,D(C),Igor Diveev,Igor,Diveev,362031
194,83,30,-DC-,D(C),Kirill Gotsuk,Kirill,Gotsuk,420559
185,75,30,-DC-,D(C),Dmitri Tikhiy,Dmitri,Tikhiy,397407
193,80,25,-DC-,D(C),Zakhar Volkov,Zakhar,Volkov,364240
187,83,29,-DC-,D(C),Samuel Gigot,Samuel,Gigot,234376
196,86,22,-DC-,D(C),Ivan Kuzmichev,Ivan,Kuzmichev,407323
172,69,29,-DC-,D(C),Igor Yurganov,Igor,Yurganov,378911
190,76,26,"",Defender,Vitaliy Stezhko,Vitaliy,Stezhko,438514
0,0,19,-DC-,D(C),Mark Mampassi,Mark,Mampassi,404100
167,71,21,-DC-,D(C),Danila Prokhin,Danila,Prokhin,379242
188,79,27,-DC-,D(C),Nikita Chernov,Nikita,Chernov,229181
192,83,35,-DC-DR-,D(CR),Aleksandr Martynovich,Aleksandr,Martynovich,30091
186,91,31,-DC-DR-,D(CR),Aleksey Nikitin,Aleksey,Nikitin,129274
185,75,25,-DC-,D(C),Ilya Gaponov,Ilya,Gaponov,364172
193,90,27,-DC-,D(C),Maxim Karpov,Maxim,Karpov,341273
0,0,26,-DC-,D(C),Aleksandr Soldatenkov,Aleksandr,Soldatenkov,420367
192,88,35,-DC-,D(C),Vladimir Rykov,Vladimir,Rykov,55773
189,84,24,-DC-,D(C),Sergey Borodin,Sergey,Borodin,373494
184,76,24,-DC-,D(C),Erving Botaka-Yoboma,Erving,Botaka-Yoboma,420420
190,86,33,-DC-DR-,D(CR),Andrey Semenov,Andrey,Semenov,122080
188,86,29,-DC-DL-,D(CL),Georgi Dzhikiya,Georgi,Dzhikiya,285661
189,81,27,-DC-,D(C),Egor Sorokin,Egor,Sorokin,243195
0,0,21,-DC-,D(C),Vyacheslav Litvinov,Vyacheslav,Litvinov,404601
0,0,22,-DC-,D(C),Egor Teslenko,Egor,Teslenko,433682
0,0,21,-DC-,D(C),Saba Sazonov,Saba,Sazonov,410988
187,0,20,"",Defender,Konstantin Nizhegorodov,Konstantin,Nizhegorodov,420061
194,89,28,-DC-,D(C),Uros Radakovic,Uros,Radakovic,118698
186,85,28,-DC-,D(C),Lucas Masoero,Lucas,Masoero,400716
192,82,23,-DC-,D(C),Roman Evgenjev,Roman,Evgenjev,364278
180,69,26,-DC-,D(C),Konstantin Pliev,Konstantin,Pliev,353990
190,81,24,-DC-,D(C),Montassar Talbi,Montassar,Talbi,361797
190,70,23,-DC-,D(C),Nuraly Alip,Nuraly,Alip,364703
177,0,21,"",Defender,Artem Sukhanov,Artem,Sukhanov,420073
194,87,29,-DC-,D(C),Aleksey Gerasimov,Aleksey,Gerasimov,140548
191,81,24,-DC-,D(C),Dennis Hadzikadunic,Dennis,Hadzikadunic,328490
190,75,27,-DC-,D(C),Ákos Kecskés,Ákos,Kecskés,281089
189,81,25,-DC-DR-,D(CR),Maximiliano Caufriez,Maximiliano,Caufriez,399708
187,83,28,-DC-,D(C),Ivan Miladinovic,Ivan,Miladinovic,378517
187,75,25,-DC-,D(C),Artem Mamin,Artem,Mamin,357045
