"teamId","teamName","teamRegionName"
2200,Kayserispor,Turkey
227,Antalyaspor,Turkey
226,Trabzonspor,Turkey
223,Fenerbahce,Turkey
2198,Adana Demirspor,Turkey
2006,Konyaspor,Turkey
2003,Sivasspor,Turkey
294,Galatasaray,Turkey
5732,Yeni Malatyaspor,Turkey
2719,Fatih Karagumruk,Turkey
133,Besiktas,Turkey
222,Altay,Turkey
254,Goztepe,Turkey
3473,Alanyaspor,Turkey
2201,Istanbul Basaksehir,Turkey
750,Rizespor,Turkey
293,Ankaragucu,Turkey
132,Denizlispor,Turkey
10533,Erzurumspor FK,Turkey
156,Genclerbirligi,Turkey
93,Blackpool,England
142,Barnsley,England
174,Nottingham Forest,England
192,Millwall,England
158,Blackburn,England
166,Huddersfield,England
17,Coventry,England
182,Bristol City,England
188,Cardiff,Wales
171,Queens Park Rangers,England
95,Luton,England
94,Reading,England
157,Birmingham,England
96,Stoke,England
259,Swansea,Wales
215,Peterborough,England
21,Middlesbrough,England
181,Preston,England
214,Hull,England
20,Derby,England
196,Wycombe,England
210,Rotherham,England
25,Sheffield Wednesday,England
194,Wigan,England
160,Charlton,England
320,Hibernian,Scotland
305,St. Johnstone,Scotland
106,St. Mirren,Scotland
787,Livingston,Scotland
177,Dundee FC,Scotland
105,Aberdeen,Scotland
178,Kilmarnock,Scotland
306,Rangers,Scotland
103,Celtic,Scotland
179,Motherwell,Scotland
281,Dundee United,Scotland
679,Ross County,Scotland
672,Hamilton Academical,Scotland
28,Milton Keynes Dons,England
197,Oxford,England
203,Lincoln City,England
176,Crewe,England
16,Sunderland,England
169,Portsmouth,England
5955,AFC Wimbledon,England
191,Gillingham,England
165,Ipswich,England
258,Cheltenham,England
2157,Accrington,England
3936,Fleetwood,England
92,Bolton,England
910,Doncaster,England
193,Cambridge U,England
212,Plymouth,England
918,Morecambe,England
207,Shrewsbury,England
1786,Burton,England
316,Northampton,England
159,Swindon,England
185,Bristol Rovers,England
202,Rochdale,England
208,Southend,England
141,Tranmere,England
91,Port Vale,England
10616,Salford City,England
99,Mansfield,England
97,Leyton Orient,England
5952,Sutton United,England
322,Carlisle,England
186,Scunthorpe,England
1974,Harrogate Town,England
98,Exeter,England
22,Bradford,England
1394,Newport,Wales
989,Forest Green,England
1994,Crawley,England
173,Walsall,England
195,Colchester,England
209,Hartlepool,England
990,Stevenage,England
190,Oldham,England
1383,Barrow,England
164,Grimsby,England
205,Macclesfield,England
905,River Plate,Argentina
1746,Arsenal Sarandi,Argentina
907,Argentinos Juniors,Argentina
898,Huracan,Argentina
893,Talleres,Argentina
889,Boca Juniors,Argentina
9310,Patronato de Parana,Argentina
4735,Tigre,Argentina
896,Gimnasia LP,Argentina
9627,Central Cordoba de Santiago,Argentina
9603,Barracas Central,Argentina
6148,Atletico Tucuman,Argentina
906,San Lorenzo,Argentina
890,Racing Club,Argentina
903,Rosario Central,Argentina
902,Newell's Old Boys,Argentina
9151,Sarmiento,Argentina
6145,Aldosivi,Argentina
3802,Godoy Cruz,Argentina
5886,Club Atletico Platense,Argentina
892,Union,Argentina
895,Velez Sarsfield,Argentina
1303,Banfield,Argentina
897,Independiente,Argentina
891,Colon,Argentina
899,Lanus,Argentina
901,Estudiantes,Argentina
6147,Defensa y Justicia,Argentina
260,Sporting Charleroi,Belgium
237,KV Mechelen,Belgium
231,Gent,Belgium
140,Genk,Belgium
2165,Oostende,Belgium
2166,Eupen,Belgium
2164,Zulte Waregem,Belgium
885,Cercle Bruges,Belgium
124,Club Bruges,Belgium
752,Royal Antwerp,Belgium
23686,Beerschot,Belgium
1406,OH Leuven,Belgium
261,Standard Liege,Belgium
10310,Royal Excel Mouscron,Belgium
239,St.Truiden,Belgium
2646,SK Beveren,Belgium
240,Anderlecht,Belgium
886,Kortrijk,Belgium
4852,FC Heidenheim,Germany
48,Hansa Rostock,Germany
3882,Sandhausen,Germany
1147,Darmstadt,Germany
112,Karlsruher SC,Germany
1143,Jahn Regensburg,Germany
283,St. Pauli,Germany
1206,Holstein Kiel,Germany
38,Hamburger SV,Germany
813,Erzgebirge Aue,Germany
1731,Dynamo Dresden,Germany
110,Hannover 96,Germany
3429,Ingolstadt,Germany
137,Nuernberg,Germany
757,Osnabrueck,Germany
5634,Wuerzburger Kickers,Germany
1138,Eintracht Braunschweig,Germany
800,Wehen Wiesbaden,Germany
361,Salzburg,Austria
1706,Shakhtar Donetsk,Ukraine
350,Dynamo Kyiv,Ukraine
587,BSC Young Boys,Switzerland
2097,FC Sheriff,Moldova
493,Malmoe FF,Sweden
843,Olympiacos,Greece
395,FC Midtjylland,Denmark
994,Ferencvaros,Hungary
684,Dinamo Zagreb,Croatia
349,Slavia Prague,Czech Republic
579,FK Crvena Zvezda,Serbia
390,Sturm Graz,Austria
354,Sparta Prague,Czech Republic
360,Rapid Wien,Austria
9449,Ludogorets Razgrad,Bulgaria
1030,Legia Warszawa,Poland
1,Brondby IF,Denmark
842,AEK Athens,Greece
1268,Maccabi Tel Aviv,Israel
365,LASK,Austria
1275,CSKA Sofia,Bulgaria
841,Slovan Liberec,Czech Republic
441,Molde,Norway
2576,CFR Cluj,Romania
1527,Lech Poznan,Poland
2121,Wolfsberger AC,Austria
1306,Hapoel Beer Sheva,Israel
730,Rijeka,Croatia
1720,Dundalk,Ireland
724,Omonia Nicosia,Cyprus
3753,Zorya,Ukraine
2569,Qarabag FK,Azerbaijan
851,PAOK Thessaloniki FC,Greece
