ID,tackleWonTotal,tackleTotalAttempted,challengeLost
226,12.0,21.0,9.0
227,1.0,4.0,3.0
228,3.0,3.0,0.0
229,7.0,14.0,7.0
230,0.0,0.0,0.0
231,15.0,30.0,15.0
232,18.0,43.0,25.0
233,8.0,17.0,9.0
234,18.0,31.0,13.0
235,38.0,87.0,49.0
236,2.0,3.0,1.0
237,19.0,47.0,28.0
238,8.0,14.0,6.0
239,3.0,4.0,1.0
240,31.0,56.0,25.0
241,15.0,17.0,2.0
242,1.0,3.0,2.0
243,29.0,46.0,17.0
244,5.0,14.0,9.0
245,19.0,41.0,22.0
246,5.0,12.0,7.0
247,2.0,2.0,0.0
248,1.0,2.0,1.0
249,29.0,54.0,25.0
250,29.0,44.0,15.0
251,14.0,23.0,9.0
252,3.0,7.0,4.0
253,6.0,15.0,9.0
254,1.0,3.0,2.0
255,35.0,46.0,11.0
256,31.0,48.0,17.0
257,0.0,1.0,1.0
258,4.0,6.0,2.0
259,7.0,16.0,9.0
260,10.0,13.0,3.0
261,21.0,40.0,19.0
262,26.0,44.0,18.0
263,7.0,22.0,15.0
264,7.0,14.0,7.0
265,7.0,17.0,10.0
266,5.0,8.0,3.0
267,3.0,8.0,5.0
268,15.0,20.0,5.0
269,9.0,14.0,5.0
270,16.0,34.0,18.0
271,1.0,1.0,0.0
272,5.0,14.0,9.0
273,6.0,6.0,0.0
274,2.0,8.0,6.0
275,9.0,21.0,12.0
276,2.0,3.0,1.0
277,6.0,26.0,20.0
278,6.0,8.0,2.0
279,2.0,6.0,4.0
280,5.0,7.0,2.0
281,2.0,4.0,2.0
282,3.0,4.0,1.0
283,0.0,2.0,2.0
284,12.0,34.0,22.0
285,6.0,9.0,3.0
286,2.0,4.0,2.0
287,2.0,5.0,3.0
288,12.0,26.0,14.0
289,5.0,12.0,7.0
290,2.0,2.0,0.0
291,2.0,5.0,3.0
292,4.0,5.0,1.0
293,1.0,1.0,0.0
294,0.0,1.0,1.0
295,0.0,2.0,2.0
296,4.0,7.0,3.0
297,1.0,2.0,1.0
298,1.0,2.0,1.0
299,0.0,1.0,1.0
300,0.0,1.0,1.0
301,1.0,1.0,0.0
302,1.0,4.0,3.0
303,0.0,2.0,2.0
304,1.0,3.0,2.0
305,1.0,1.0,0.0
306,0.0,0.0,0.0
307,0.0,0.0,0.0
308,0.0,2.0,2.0
309,0.0,0.0,0.0
310,10.0,10.0,0.0
311,1.0,1.0,0.0
312,2.0,2.0,0.0
313,6.0,16.0,10.0
314,1.0,1.0,0.0
315,0.0,2.0,2.0
316,10.0,14.0,4.0
317,5.0,14.0,9.0
318,2.0,6.0,4.0
319,10.0,24.0,14.0
320,12.0,27.0,15.0
321,7.0,13.0,6.0
322,17.0,22.0,5.0
323,1.0,3.0,2.0
324,3.0,5.0,2.0
325,3.0,7.0,4.0
326,0.0,1.0,1.0
327,11.0,22.0,11.0
328,12.0,28.0,16.0
329,7.0,12.0,5.0
330,2.0,6.0,4.0
331,27.0,40.0,13.0
332,5.0,9.0,4.0
333,6.0,11.0,5.0
334,9.0,13.0,4.0
335,6.0,11.0,5.0
336,2.0,4.0,2.0
337,8.0,24.0,16.0
338,4.0,4.0,0.0
339,5.0,8.0,3.0
340,2.0,6.0,4.0
341,1.0,3.0,2.0
342,0.0,3.0,3.0
343,20.0,29.0,9.0
344,2.0,2.0,0.0
345,16.0,31.0,15.0
346,4.0,6.0,2.0
347,2.0,2.0,0.0
348,0.0,1.0,1.0
349,25.0,51.0,26.0
350,17.0,40.0,23.0
351,10.0,26.0,16.0
352,8.0,13.0,5.0
353,5.0,5.0,0.0
354,3.0,6.0,3.0
355,0.0,1.0,1.0
356,11.0,27.0,16.0
357,4.0,7.0,3.0
358,4.0,7.0,3.0
359,6.0,8.0,2.0
360,0.0,0.0,0.0
361,1.0,4.0,3.0
362,4.0,9.0,5.0
363,1.0,4.0,3.0
364,3.0,4.0,1.0
365,15.0,28.0,13.0
366,6.0,9.0,3.0
367,0.0,1.0,1.0
368,14.0,24.0,10.0
369,2.0,8.0,6.0
370,4.0,5.0,1.0
371,7.0,15.0,8.0
372,0.0,0.0,0.0
373,9.0,15.0,6.0
374,8.0,12.0,4.0
375,0.0,0.0,0.0
376,18.0,37.0,19.0
377,2.0,3.0,1.0
378,8.0,14.0,6.0
379,6.0,14.0,8.0
380,2.0,7.0,5.0
381,9.0,10.0,1.0
382,0.0,0.0,0.0
383,5.0,8.0,3.0
384,4.0,17.0,13.0
385,2.0,2.0,0.0
386,0.0,1.0,1.0
387,6.0,14.0,8.0
388,6.0,7.0,1.0
389,0.0,1.0,1.0
390,5.0,8.0,3.0
391,4.0,8.0,4.0
392,1.0,1.0,0.0
393,0.0,0.0,0.0
394,11.0,22.0,11.0
395,8.0,18.0,10.0
396,9.0,12.0,3.0
397,1.0,1.0,0.0
398,4.0,8.0,4.0
399,0.0,1.0,1.0
400,0.0,0.0,0.0
401,4.0,10.0,6.0
402,0.0,0.0,0.0
403,1.0,4.0,3.0
404,4.0,6.0,2.0
405,1.0,1.0,0.0
406,1.0,1.0,0.0
407,0.0,0.0,0.0
408,1.0,5.0,4.0
409,0.0,1.0,1.0
410,0.0,0.0,0.0
411,2.0,3.0,1.0
412,1.0,5.0,4.0
413,3.0,5.0,2.0
414,0.0,1.0,1.0
415,2.0,3.0,1.0
416,0.0,0.0,0.0
417,0.0,1.0,1.0
418,1.0,3.0,2.0
419,1.0,2.0,1.0
420,0.0,1.0,1.0
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,0.0,4.0,4.0
424,1.0,1.0,0.0
425,0.0,0.0,0.0
426,0.0,0.0,0.0
427,3.0,6.0,3.0
428,10.0,20.0,10.0
429,0.0,0.0,0.0
430,6.0,17.0,11.0
431,5.0,8.0,3.0
432,9.0,17.0,8.0
433,11.0,18.0,7.0
434,0.0,1.0,1.0
435,18.0,29.0,11.0
436,13.0,22.0,9.0
437,5.0,11.0,6.0
438,23.0,35.0,12.0
439,0.0,3.0,3.0
440,6.0,10.0,4.0
441,28.0,43.0,15.0
442,30.0,54.0,24.0
443,1.0,3.0,2.0
444,11.0,20.0,9.0
445,14.0,29.0,15.0
446,7.0,19.0,12.0
447,6.0,12.0,6.0
448,15.0,35.0,20.0
