ID,turnover,dispossessed
318,11.0,8.0
319,77.0,44.0
320,50.0,16.0
321,9.0,3.0
322,54.0,22.0
323,9.0,5.0
324,2.0,3.0
325,7.0,3.0
326,31.0,18.0
327,54.0,11.0
328,65.0,26.0
329,15.0,9.0
330,5.0,2.0
331,84.0,41.0
332,76.0,39.0
333,7.0,5.0
334,11.0,4.0
335,16.0,2.0
336,9.0,2.0
337,78.0,36.0
338,1.0,1.0
339,11.0,4.0
340,21.0,11.0
341,4.0,6.0
342,51.0,27.0
343,94.0,51.0
344,3.0,0.0
345,68.0,47.0
346,21.0,14.0
347,5.0,3.0
348,7.0,5.0
349,126.0,76.0
350,81.0,36.0
351,57.0,28.0
352,20.0,12.0
353,6.0,3.0
354,73.0,34.0
355,1.0,0.0
356,67.0,44.0
357,26.0,16.0
358,18.0,14.0
359,12.0,5.0
360,5.0,1.0
361,5.0,4.0
362,55.0,14.0
363,3.0,2.0
364,17.0,7.0
365,104.0,36.0
366,24.0,7.0
367,6.0,1.0
368,61.0,32.0
369,18.0,7.0
370,22.0,6.0
371,28.0,14.0
372,3.0,1.0
373,75.0,30.0
374,54.0,22.0
375,2.0,2.0
376,59.0,43.0
377,12.0,15.0
378,19.0,18.0
379,56.0,25.0
380,38.0,17.0
381,6.0,5.0
382,1.0,0.0
383,15.0,10.0
384,42.0,22.0
385,9.0,1.0
386,5.0,1.0
387,33.0,7.0
388,19.0,9.0
389,8.0,6.0
390,34.0,14.0
391,23.0,15.0
392,6.0,6.0
393,4.0,1.0
394,29.0,18.0
395,41.0,26.0
396,4.0,8.0
397,1.0,0.0
398,22.0,7.0
399,4.0,3.0
400,0.0,2.0
401,26.0,19.0
402,1.0,0.0
403,7.0,3.0
404,5.0,4.0
405,12.0,1.0
406,6.0,5.0
407,3.0,1.0
408,13.0,12.0
409,1.0,1.0
410,1.0,0.0
411,0.0,2.0
412,10.0,3.0
413,13.0,5.0
414,3.0,3.0
415,14.0,6.0
416,0.0,1.0
417,1.0,4.0
418,4.0,0.0
419,1.0,1.0
420,1.0,1.0
421,5.0,1.0
422,0.0,0.0
423,3.0,1.0
424,1.0,0.0
425,1.0,1.0
426,3.0,0.0
427,18.0,14.0
428,34.0,23.0
429,3.0,0.0
430,59.0,32.0
431,30.0,11.0
432,89.0,48.0
433,30.0,22.0
434,0.0,1.0
435,34.0,14.0
436,26.0,15.0
437,29.0,17.0
438,75.0,28.0
439,9.0,7.0
440,18.0,12.0
441,50.0,37.0
442,107.0,41.0
443,3.0,0.0
444,102.0,57.0
445,70.0,34.0
446,10.0,2.0
447,51.0,26.0
448,70.0,37.0
449,6.0,7.0
450,17.0,21.0
