ID,foulGiven,foulCommitted
318,14.0,2.0
319,39.0,36.0
320,30.0,6.0
321,6.0,11.0
322,40.0,34.0
323,3.0,8.0
324,2.0,1.0
325,2.0,4.0
326,40.0,21.0
327,19.0,21.0
328,35.0,21.0
329,10.0,8.0
330,2.0,3.0
331,49.0,38.0
332,26.0,23.0
333,3.0,5.0
334,10.0,3.0
335,6.0,6.0
336,7.0,0.0
337,22.0,21.0
338,3.0,1.0
339,4.0,2.0
340,12.0,11.0
341,6.0,3.0
342,20.0,8.0
343,19.0,45.0
344,1.0,3.0
345,18.0,38.0
346,24.0,16.0
347,1.0,3.0
348,8.0,12.0
349,53.0,52.0
350,21.0,44.0
351,54.0,32.0
352,13.0,6.0
353,1.0,1.0
354,31.0,26.0
355,1.0,1.0
356,52.0,32.0
357,9.0,2.0
358,11.0,10.0
359,8.0,13.0
360,4.0,3.0
361,5.0,2.0
362,36.0,22.0
363,1.0,4.0
364,17.0,16.0
365,85.0,65.0
366,18.0,29.0
367,9.0,2.0
368,33.0,26.0
369,8.0,8.0
370,13.0,7.0
371,20.0,13.0
372,0.0,3.0
373,55.0,43.0
374,26.0,35.0
375,3.0,0.0
376,50.0,40.0
377,8.0,5.0
378,20.0,14.0
379,44.0,23.0
380,7.0,18.0
381,3.0,5.0
382,1.0,0.0
383,7.0,4.0
384,21.0,14.0
385,4.0,5.0
386,3.0,4.0
387,23.0,17.0
388,10.0,13.0
389,8.0,6.0
390,30.0,15.0
391,13.0,8.0
392,2.0,4.0
393,1.0,2.0
394,24.0,16.0
395,18.0,9.0
396,4.0,9.0
397,0.0,0.0
398,13.0,15.0
399,1.0,0.0
400,0.0,1.0
401,12.0,8.0
402,0.0,0.0
403,2.0,2.0
404,4.0,3.0
405,2.0,1.0
406,0.0,2.0
407,1.0,0.0
408,21.0,4.0
409,2.0,2.0
410,1.0,0.0
411,2.0,2.0
412,2.0,0.0
413,2.0,1.0
414,1.0,1.0
415,3.0,4.0
416,0.0,1.0
417,0.0,3.0
418,1.0,3.0
419,1.0,0.0
420,1.0,2.0
421,1.0,0.0
422,0.0,1.0
423,0.0,6.0
424,0.0,1.0
425,0.0,0.0
426,0.0,2.0
427,21.0,4.0
428,12.0,6.0
429,2.0,3.0
430,42.0,17.0
431,24.0,32.0
432,46.0,31.0
433,19.0,13.0
434,1.0,0.0
435,29.0,27.0
436,24.0,9.0
437,20.0,9.0
438,53.0,58.0
439,7.0,6.0
440,4.0,8.0
441,41.0,18.0
442,135.0,58.0
443,2.0,3.0
444,42.0,26.0
445,44.0,37.0
446,7.0,8.0
447,34.0,22.0
448,38.0,32.0
449,9.0,4.0
450,6.0,15.0
451,10.0,15.0
452,25.0,9.0
453,50.0,24.0
454,69.0,52.0
455,26.0,35.0
456,28.0,15.0
457,7.0,6.0
458,58.0,23.0
459,8.0,11.0
460,62.0,33.0
461,14.0,3.0
462,11.0,15.0
463,25.0,49.0
464,3.0,0.0
465,10.0,13.0
466,10.0,10.0
467,63.0,33.0
468,19.0,7.0
469,12.0,14.0
470,13.0,18.0
471,12.0,7.0
472,35.0,37.0
473,43.0,48.0
474,9.0,5.0
475,15.0,9.0
476,15.0,10.0
477,26.0,9.0
478,16.0,31.0
479,1.0,1.0
480,1.0,1.0
481,29.0,26.0
482,40.0,29.0
483,3.0,3.0
484,4.0,4.0
485,22.0,16.0
486,14.0,4.0
487,7.0,14.0
488,20.0,22.0
489,16.0,12.0
490,30.0,33.0
491,2.0,5.0
492,62.0,42.0
493,6.0,3.0
494,6.0,3.0
495,22.0,28.0
496,8.0,10.0
497,0.0,0.0
498,2.0,3.0
499,7.0,6.0
500,12.0,18.0
501,19.0,23.0
502,4.0,0.0
503,9.0,14.0
504,2.0,1.0
505,7.0,6.0
506,1.0,1.0
507,1.0,0.0
508,0.0,2.0
509,3.0,3.0
510,32.0,24.0
511,15.0,13.0
512,10.0,14.0
513,6.0,6.0
514,2.0,2.0
515,7.0,10.0
516,2.0,3.0
517,14.0,3.0
518,4.0,7.0
519,2.0,2.0
520,3.0,5.0
521,13.0,5.0
522,3.0,2.0
523,2.0,4.0
524,5.0,7.0
525,3.0,7.0
526,2.0,0.0
527,0.0,3.0
528,1.0,3.0
529,1.0,1.0
530,0.0,1.0
531,1.0,2.0
532,1.0,1.0
533,7.0,3.0
534,2.0,0.0
535,7.0,0.0
536,49.0,6.0
537,3.0,1.0
538,27.0,11.0
539,2.0,5.0
540,5.0,3.0
541,14.0,5.0
542,16.0,29.0
543,38.0,37.0
544,46.0,38.0
545,1.0,2.0
546,40.0,18.0
547,25.0,13.0
548,29.0,8.0
549,41.0,36.0
550,17.0,6.0
551,20.0,47.0
552,1.0,2.0
553,1.0,1.0
554,18.0,23.0
555,12.0,14.0
556,17.0,9.0
557,1.0,6.0
558,103.0,63.0
559,1.0,0.0
560,10.0,6.0
561,26.0,37.0
562,4.0,4.0
563,28.0,16.0
564,69.0,52.0
565,48.0,8.0
566,3.0,9.0
567,3.0,5.0
568,42.0,22.0
569,24.0,19.0
570,29.0,23.0
571,14.0,15.0
572,47.0,33.0
573,3.0,1.0
574,27.0,37.0
575,11.0,9.0
576,3.0,3.0
577,45.0,27.0
578,2.0,1.0
579,0.0,5.0
580,5.0,0.0
581,48.0,40.0
582,31.0,19.0
583,21.0,19.0
584,18.0,21.0
585,31.0,47.0
586,19.0,14.0
587,69.0,54.0
588,3.0,1.0
589,47.0,31.0
590,62.0,64.0
591,10.0,14.0
592,12.0,12.0
593,72.0,44.0
594,6.0,5.0
595,23.0,7.0
596,49.0,50.0
597,6.0,5.0
598,10.0,13.0
599,1.0,0.0
600,2.0,0.0
601,33.0,10.0
602,1.0,3.0
603,12.0,11.0
604,1.0,1.0
605,14.0,10.0
606,46.0,32.0
607,1.0,3.0
608,22.0,27.0
609,29.0,42.0
610,1.0,1.0
611,2.0,4.0
612,28.0,15.0
613,18.0,14.0
614,10.0,11.0
615,3.0,1.0
616,23.0,21.0
617,2.0,2.0
618,13.0,9.0
619,1.0,3.0
620,25.0,15.0
621,7.0,6.0
622,1.0,0.0
623,0.0,0.0
624,4.0,7.0
625,2.0,1.0
626,16.0,8.0
627,11.0,29.0
628,24.0,30.0
629,9.0,15.0
630,11.0,15.0
631,5.0,2.0
632,7.0,3.0
633,2.0,1.0
634,0.0,2.0
635,0.0,3.0
636,4.0,17.0
637,2.0,4.0
638,4.0,0.0
639,0.0,4.0
640,0.0,1.0
641,1.0,0.0
642,6.0,4.0
643,3.0,1.0
644,3.0,0.0
645,4.0,1.0
646,0.0,0.0
647,0.0,1.0
648,0.0,0.0
649,12.0,12.0
650,1.0,2.0
651,7.0,5.0
652,2.0,4.0
653,0.0,0.0
654,0.0,1.0
655,9.0,13.0
656,14.0,11.0
657,22.0,10.0
658,2.0,0.0
659,0.0,4.0
660,25.0,10.0
661,50.0,26.0
662,19.0,12.0
663,56.0,42.0
664,2.0,2.0
665,5.0,6.0
666,3.0,1.0
667,19.0,7.0
668,49.0,22.0
669,0.0,1.0
670,16.0,24.0
671,4.0,1.0
672,2.0,0.0
673,1.0,0.0
674,9.0,6.0
675,53.0,33.0
676,68.0,72.0
677,29.0,15.0
678,4.0,3.0
679,1.0,1.0
680,1.0,3.0
681,27.0,33.0
682,11.0,1.0
683,6.0,13.0
684,12.0,12.0
685,33.0,14.0
686,39.0,37.0
687,1.0,1.0
688,2.0,1.0
689,3.0,1.0
690,38.0,51.0
691,23.0,12.0
692,3.0,4.0
693,6.0,5.0
694,21.0,26.0
695,37.0,22.0
696,21.0,10.0
697,3.0,0.0
698,48.0,39.0
699,20.0,19.0
